LON,LAT,ANNUAL
-49.245,-17.255,5056
-4.903,-17.302,5067
-48.426,-17.326,5145
-48.481,-1.732,5145
-48.277,-17.302,5210
-48.704,-17.199,5082
-49.987,-17.139,5048
-48.663,-17.056,5109
-51.810,-16.954,4796
-50.146,-17.049,5022
-49.776,-16.972,5063
-49.632,-1.704,5044
-49.228,-16.970,4958
-48.952,-16.970,5073
-4.830,-17.034,5073
-50.449,-16.947,4984
-4.945,-16.909,4947
-50.407,-1.682,5088
-50.166,-16.793,5033
-49.924,-16.805,5034
-49.694,-16.763,5009
-49.535,-16.830,5035
-49.438,-16.762,4969
-49.247,-16.820,4962
-47.614,-16.768,5034
-52.314,-16.722,4937
-51.528,-16.745,4921
-50.644,-16.667,4934
-50.465,-16.678,5157
-49.493,-16.652,4980
-49.265,-16.687,4941
-49.092,-16.709,5047
-48.999,-16.716,5047
-48.609,-16.660,4969
-48.507,-16.746,5068
-50.792,-16.606,5017
-50.304,-16.578,5074
-50.136,-16.610,5069
-49.882,-16.581,5039
-49.702,-16.579,5018
-4.896,-16.618,4957
-48.743,-16.620,4964
-50.739,-16.545,5011
-5.037,-16.522,5079
-49.959,-1.646,5020
-49.758,-16.468,5019
-49.421,-16.512,5006
-49.309,-16.487,5002
-49.021,-16.502,4940
-48.645,-16.484,4985
-51.820,-16.427,4996
-51.560,-16.386,4997
-51.119,-16.440,4936
-50.168,-16.417,5019
-49.681,-16.357,4999
-49.501,-16.362,4953
-49.496,-16.447,4980
-49.386,-16.432,4991
-49.320,-16.372,4991
-49.223,-16.405,4968
-49.080,-1.640,4909
-50.906,-16.314,5014
-50.553,-16.295,5004
-49.980,-1.625,4907
-49.367,-16.255,4992
-49.092,-16.292,4910
-48.953,-16.329,4857
-47.950,-16.254,5106
-52.544,-16.198,5010
-52.176,-16.200,4938
-51.259,-16.234,4944
-50.954,-16.182,5052
-50.435,-16.177,5072
-50.304,-16.212,5088
-49.605,-16.204,4910
-49.197,-16.218,4897
-48.706,-16.197,4971
-50.207,-16.124,5009
-49.603,-1.606,4921
-49.493,-16.084,4972
-49.337,-16.097,5044
-4.851,-16.084,4928
-48.032,-16.053,5018
-47.934,-16.079,5009
-47.976,-16.066,5009
-51.398,-16.006,4959
-50.712,-16.032,5074
-49.806,-1.602,4936
-49.375,-15.956,5057
-5.225,-15.903,4962
-50.867,-15.866,5021
-50.143,-15.941,4963
-49.603,-15.919,4961
-49.260,-1.593,5033
-48.949,-15.855,4835
-4.881,-15.928,4784
-4.827,-15.948,5001
-51.104,-15.767,4911
-50.610,-15.821,5045
-4.963,-15.761,4924
-48.769,-15.776,4849
-46.924,-15.806,5461
-49.827,-15.719,4890
-49.334,-15.749,5030
-48.260,-15.741,4906
-50.030,-15.633,4851
-49.941,-15.560,4908
-49.679,-1.551,4985
-48.883,-1.546,5033
-47.609,-15.453,5219
-47.337,-15.540,5325
-5.075,-15.435,4950
-50.363,-15.448,5027
-49.708,-15.355,4943
-49.509,-15.449,4932
-50.056,-15.319,4807
-49.818,-15.350,4766
-49.600,-15.307,4885
-49.582,-15.315,4938
-4.943,-15.298,4926
-49.117,-15.312,4890
-51.165,-15.243,5091
-49.801,-15.164,4851
-49.672,-15.173,4880
-48.287,-15.164,5248
-50.632,-15.091,4960
-49.575,-15.146,4890
-49.119,-15.135,4988
-48.163,-15.055,5212
-49.896,-1.502,4776
-49.552,-14.953,4898
-4.891,-14.968,4910
-47.783,-14.981,5146
-47.053,-15.034,5573
-51.081,-14.926,5006
-49.331,-1.486,4908
-49.581,-14.763,4844
-46.254,-14.805,5458
-50.572,-14.746,4945
-49.702,-14.734,5026
-49.468,-14.721,4876
-47.523,-14.705,5220
-46.172,-14.560,5543
-49.976,-14.541,5001
-48.460,-14.467,5038
-46.431,-14.456,5588
-46.486,-14.461,5588
-46.494,-14.484,5588
